200 ms,1 STA,,300 ms,1 STA,,400 ms,1 STA,,500 ms,1 STA,,600 ms,1 STA,,500 ms,2 STA,,500 ms,3 STA,,500 ms,4 STA,,500 ms,5 STA,,500 ms,6STA
645.04,23326.36,,645.04,34036.73,,645.04,46274.2,,645.04,56727.88,,645.04,61036.3,,645.04,56632.82,,645.04,56839.67,,645.04,56843.55,,645.04,56610.94,,645.04,12554.11
645.23,23445.83,,645.23,34160.97,,645.23,46472.85,,645.23,56941.55,,645.23,61036.3,,645.23,56784.03,,645.23,57020.34,,645.23,56930.76,,645.23,56814.78,,645.23,12368.42
645.42,23708.65,,645.42,34356.89,,645.42,46916.57,,645.42,57304.73,,645.42,61036.3,,645.42,57073.13,,645.42,57300.69,,645.42,57226.01,,645.42,57127.85,,645.42,12335.2
645.61,23665.64,,645.61,34407.41,,645.61,46690.62,,645.61,57127.23,,645.61,61036.3,,645.61,56860.15,,645.61,57199.65,,645.61,57206.21,,645.61,56986.68,,645.61,12384.12
645.8,23505.22,,645.8,34369.18,,645.8,46416.19,,645.8,57048.05,,645.8,61036.3,,645.8,56656.37,,645.8,56997.36,,645.8,57091.01,,645.8,56835.13,,645.8,12470.48
645.99,23418.52,,645.99,34371.91,,645.99,46175.21,,645.99,56974.32,,645.99,61036.3,,645.99,56622.58,,645.99,57008.51,,645.99,56951.07,,645.99,56757.71,,645.99,12533.85
646.18,23507.27,,646.18,34625.18,,646.18,46461.24,,646.18,57306.09,,646.18,61036.3,,646.18,57007.94,,646.18,57299.32,,646.18,57225.32,,646.18,57090.58,,646.18,12475.49
646.37,23897.75,,646.37,34869.57,,646.37,47099.53,,646.37,57822.18,,646.37,61036.3,,646.37,57732.58,,646.37,57905.06,,646.37,57909.35,,646.37,57667.28,,646.37,12506.43
646.56,24086.16,,646.56,35207.48,,646.56,47466.8,,646.56,58177.16,,646.56,61036.3,,646.56,58159.92,,646.56,58301.69,,646.56,58360.24,,646.56,58061.86,,646.56,12530.21
646.75,24386.53,,646.75,35356.3,,646.75,47706.41,,646.75,58442.03,,646.75,61036.3,,646.75,58310.79,,646.75,58517.18,,646.75,58571.52,,646.75,58190.75,,646.75,12557.29
646.94,24110.05,,646.94,35158.33,,646.94,47287.26,,646.94,58125.28,,646.94,61036.3,,646.94,57886.52,,646.94,58067.99,,646.94,57966.86,,646.94,57708.79,,646.94,12662.42
647.14,23740.74,,647.14,34665.46,,647.14,46818.95,,647.14,57444.67,,647.14,61036.3,,647.14,57253.7,,647.14,57374.19,,647.14,57351.27,,647.14,57110.24,,647.14,12599.05
647.33,23279.26,,647.33,34275.66,,647.33,46275.56,,647.33,56824.82,,647.33,61036.3,,647.33,56627.36,,647.33,56826.92,,647.33,56724.25,,647.33,56530.8,,647.33,12666.17
647.52,23140,,647.52,33952.76,,647.52,45877.57,,647.52,56219.98,,647.52,61036.3,,647.52,56092.16,,647.52,56379.1,,647.52,56278.48,,647.52,56089.12,,647.52,12639.1
647.71,23116.79,,647.71,33829.2,,647.71,45715.78,,647.71,56187.22,,647.71,61036.3,,647.71,55951.19,,647.71,56332.68,,647.71,56272.17,,647.71,56064.54,,647.71,12674.82
647.9,23301.11,,647.9,33812.13,,647.9,45878.94,,647.9,56293.71,,647.9,61036.3,,647.9,56216.06,,647.9,56460.79,,647.9,56486.01,,647.9,56312.48,,647.9,12538.75
648.09,23387.8,,648.09,34230.6,,648.09,46375.23,,648.09,56695.8,,648.09,61036.3,,648.09,56761.84,,648.09,57050.61,,648.09,57089.99,,648.09,56857.65,,648.09,12562.87
648.28,23628.1,,648.28,34672.96,,648.28,46842.17,,648.28,57295.17,,648.28,61036.3,,648.28,57373.16,,648.28,57617.21,,648.28,57605.56,,648.28,57397.91,,648.28,12549.9
648.47,23737.32,,648.47,34920.77,,648.47,47004.64,,648.47,57630.35,,648.47,61036.3,,648.47,57578.3,,648.47,57923.04,,648.47,57853.2,,648.47,57588.64,,648.47,12554.56
648.66,23935.98,,648.66,35229.33,,648.66,47211.48,,648.66,58046.77,,648.66,61036.3,,648.66,57891.64,,648.66,58149.46,,648.66,58037.17,,648.66,57895.29,,648.66,12440.9
648.85,24224.74,,648.85,35563.83,,648.85,47641.56,,648.85,58117.77,,648.85,61036.3,,648.85,58095.07,,648.85,58370.86,,648.85,58293.85,,648.85,58132.45,,648.85,12495.28
649.04,24098.45,,649.04,35615.03,,649.04,47787.64,,649.04,57981.92,,649.04,61036.3,,649.04,58173.92,,649.04,58344.01,,649.04,58346.42,,649.04,58166.44,,649.04,12429.18
649.23,24043.84,,649.23,35329.68,,649.23,47712.55,,649.23,57777.81,,649.23,61036.3,,649.23,58088.93,,649.23,58229.1,,649.23,58327.13,,649.23,58033.05,,649.23,12426.68
649.42,23753.02,,649.42,34987.67,,649.42,47299.54,,649.42,57545.02,,649.42,61036.3,,649.42,57759.2,,649.42,57904.15,,649.42,57949.62,,649.42,57658.82,,649.42,12363.99
649.61,23806.27,,649.61,34924.86,,649.61,47140.49,,649.61,57548.43,,649.61,61036.3,,649.61,57683.09,,649.61,57859.78,,649.61,57884.43,,649.61,57608.85,,649.61,12368.65
649.8,23834.94,,649.8,34915.99,,649.8,47195.78,,649.8,57556.63,,649.8,61036.3,,649.8,57623.01,,649.8,57741.68,,649.8,57834.59,,649.8,57515.6,,649.8,12465.7
649.99,23813.1,,649.99,34742.6,,649.99,46909.75,,649.99,57469.93,,649.99,61036.3,,649.99,57466.69,,649.99,57596.73,,649.99,57676.22,,649.99,57391.22,,649.99,12458.76
650.18,23609.67,,650.18,34421.06,,650.18,46530.87,,650.18,57120.41,,650.18,61036.3,,650.18,56954.69,,650.18,57153.69,,650.18,57234.2,,650.18,56937.12,,650.18,12609.51
650.37,23349.57,,650.37,34186.91,,650.37,45927.41,,650.37,56616.61,,650.37,61036.3,,650.37,56423.25,,650.37,56816.46,,650.37,56664.69,,650.37,56522.88,,650.37,12495.17
650.56,23358.45,,650.56,34324.81,,650.56,46223,,650.56,56641.18,,650.56,61036.3,,650.56,56555,,650.56,56827.15,,650.56,56717.43,,650.56,56557.29,,650.56,12534.88
650.75,23360.5,,650.75,34303.65,,650.75,46271.46,,650.75,56676.68,,650.75,61036.3,,650.75,56739.66,,650.75,56935.01,,650.75,56851.57,,650.75,56703.78,,650.75,12350.33
650.94,23550.28,,650.94,34466.8,,650.94,46848.99,,650.94,57177.75,,650.94,61036.3,,650.94,57217.17,,650.94,57264.73,,650.94,57294.44,,650.94,57065.86,,650.94,12337.48
651.13,23582.36,,651.13,34417.65,,651.13,46870.15,,651.13,57188.67,,651.13,61036.3,,651.13,57123.65,,651.13,57283.85,,651.13,57342.06,,651.13,57052.21,,651.13,12265.8
651.32,23831.53,,651.32,34855.23,,651.32,47203.29,,651.32,57574.37,,651.32,61036.3,,651.32,57527.1,,651.32,57637.46,,651.32,57634.75,,651.32,57434.23,,651.32,12347.49
651.51,24175.59,,651.51,35295.55,,651.51,47511.17,,651.51,58087.73,,651.51,61036.3,,651.51,58063.33,,651.51,58223.64,,651.51,58210.23,,651.51,58059.81,,651.51,12389.13
651.7,24402.91,,651.7,35617.08,,651.7,47727.57,,651.7,58569.69,,651.7,61036.3,,651.7,58519.68,,651.7,58703.77,,651.7,58606.68,,651.7,58520.88,,651.7,12390.04
651.89,24537.4,,651.89,35595.92,,651.89,47956.26,,651.89,58776.53,,651.89,61036.3,,651.89,58748.71,,651.89,58975.24,,651.89,58899.2,,651.89,58707.38,,651.89,12407.22
