,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Incandescent,,,,Fluorescent,,,,Halogen,,,,Hydrogen,,,,Helium,,,,LED,,,,Green Laser,,,,Red Laser,,,,Green Laser Again,,
,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L
,,171.25,-232.79,-1.35935766423358,,171.25,-6.47,-0.0377810218978102,,171.25,-1906.72,-11.1341313868613,,171.25,-1255.03,-7.32864233576642,,171.25,-30.72,-0.179386861313869,,171.25,-1416.09,-8.26913868613139,,171.25,-116.67,-0.681284671532847,,171.25,-116.67,-0.681284671532847,,171.25,-29.42,-0.171795620437956
,,171.47,-232.79,-1.35761357671896,,171.47,-6.47,-0.0377325479675745,,171.47,-1906.72,-11.1198460372077,,171.47,-1255.03,-7.3192395171167,,171.47,-30.72,-0.179156703796582,,171.47,-1416.09,-8.25852918877938,,171.47,-116.67,-0.680410567446201,,171.47,-116.67,-0.680410567446201,,171.47,-29.42,-0.171575202659357
,,171.7,-222.77,-1.2974373907979,,171.7,-9.94,-0.0578916715200932,,171.7,-1908.54,-11.1155503785673,,171.7,-1255.85,-7.31421083284799,,171.7,-26.08,-0.151892836342458,,171.7,-1404.65,-8.1808386721025,,171.7,-118.58,-0.690623179965055,,171.7,-118.58,-0.690623179965055,,171.7,-20.96,-0.122073383808969
,,171.92,-136.3,-0.792810609585854,,171.92,-4.98,-0.0289669613773848,,171.92,-1196.37,-6.95887622149837,,171.92,-796.15,-4.63093299208934,,171.92,-18.03,-0.10487436016752,,171.92,-870.64,-5.06421591437878,,171.92,-88.4,-0.514192647743136,,171.92,-88.4,-0.514192647743136,,171.92,-16.59,-0.0964983713355049
,,172.15,-23.21,-0.13482428115016,,172.15,-1.53,-0.00888759802497822,,172.15,-272.74,-1.58431600348533,,172.15,-175.89,-1.02172523961661,,172.15,-4.97,-0.0288701713621841,,172.15,-185.77,-1.0791170490851,,172.15,-38.02,-0.22085390647691,,172.15,-38.02,-0.22085390647691,,172.15,9.08,0.0527446993900668
,,172.37,51.43,0.298369785925625,,172.37,2.66,0.0154319197076057,,172.37,378.36,2.19504554156756,,172.37,254.46,1.47624296571329,,172.37,1.7,0.00986250507628938,,172.37,270.76,1.57080698497418,,172.37,7.85,0.0455415675581598,,172.37,7.85,0.0455415675581598,,172.37,13.04,0.0756512154087138
,,172.59,34.59,0.200417173648531,,172.59,-0.01,-0.0000579407845182224,,172.59,294.62,1.70705139347587,,172.59,206.26,1.19508662147285,,172.59,2.56,0.0148328408366649,,172.59,195.84,1.13471232400487,,172.59,17,0.098499333680978,,172.59,17,0.098499333680978,,172.59,15.5,0.0898082160032447
,,172.82,-2.96,-0.0171276472630483,,172.82,-2.04,-0.0118041893299387,,172.82,-8.63,-0.0499363499594954,,172.82,-8.5,-0.0491841222080778,,172.82,-4.65,-0.0269066080314778,,172.82,-19.2,-0.11109825251707,,172.82,-2.8,-0.0162018284920727,,172.82,-2.8,-0.0162018284920727,,172.82,-3.62,-0.0209466496933225
,,173.04,-25.03,-0.144648636153491,,173.04,0.11,0.000635691169671752,,173.04,-88.57,-0.511846971798428,,173.04,-63.52,-0.36708275543227,,173.04,-2.92,-0.0168747110494683,,173.04,-59.48,-0.343735552473417,,173.04,-13.58,-0.0784789644012945,,173.04,-13.58,-0.0784789644012945,,173.04,-7.17,-0.0414355062413315
