Colors,V,dV,Peak wavelength,d l,pv/e 1,pv/e 2,sigma,BlueWave,Blue_I,Peak v/e Blue,OrangeWave,Orange_I,Peak v/e Orange,RedWave,Red_I,Peak v/e Red,YellowWave,Yellow_I,Peak v/e Yellow
Blue,2.7316,0.0001,461.55,0.005,453.11,472.41,9.65,171.25,-10.14,4718.50214105979,171.25,-75.88,4937.50827729299,171.25,-59.48,5030.07048574834,171.25,-2850.77,4627.92280412614
Orange,1.9415,0.0001,609.1,0.005,598.22,624.74,13.26,171.47,-10.14,12826.21,171.47,-75.88,13421.53,171.47,-59.48,13673.14,171.47,-2850.77,12579.99
Red,1.6967,0.0001,653.41,0.005,640.27,661.94,10.835,171.7,-15.14,,171.7,-73.49,,171.7,-65.75,,171.7,-2866.47,
Yellow,1.9403,0.0001,591.79,0.005,581.42,608.13,13.355,171.92,-16.65,,171.92,-48.64,,171.92,-43.22,,171.92,-1848.63,
,,,,,,,,172.15,-15.51,,172.15,-12.6,,172.15,-7.21,,172.15,-612.34,
,,,,,,,,172.37,-9.91,,172.37,5.02,,172.37,20.22,,172.37,320.17,
,,,,,,,,172.59,-10.82,,172.59,7.95,,172.59,18.82,,172.59,210.26,
,,,,,,,,172.82,-8.95,,172.82,-1.95,,172.82,0.98,,172.82,-71,
,,,,,,,,173.04,-2.31,,173.04,5.56,,173.04,-6.06,,173.04,-25.26,
,,,,,,,,173.27,-0.67,,173.27,1.74,,173.27,-8.7,,173.27,81.24,
,,,,,,,,173.49,5.93,,173.49,6.18,,173.49,-7.85,,173.49,13.65,
,,,,,,,,173.72,0.1,,173.72,10.34,,173.72,-4.69,,173.72,33.45,
,,,,,,,,173.94,12.48,,173.94,14.44,,173.94,-3.63,,173.94,-62.12,
,,,,,,,,174.16,7.93,,174.16,-1.33,,174.16,-4.74,,174.16,-86.01,
,,,,,,,,174.39,8.43,,174.39,-19.08,,174.39,-4.78,,174.39,-275.79,
,,,,,,,,174.61,-0.99,,174.61,-24.13,,174.61,-6.49,,174.61,-229.37,
,,,,,,,,174.83,4.15,,174.83,-14.37,,174.83,-6.78,,174.83,-245.07,
,,,,,,,,175.06,4.93,,175.06,-2.36,,175.06,-1.66,,175.06,-17.07,
,,,,,,,,175.28,6.29,,175.28,3.72,,175.28,1.19,,175.28,-137.9,
,,,,,,,,175.51,-5.45,,175.51,4.33,,175.51,4.31,,175.51,-22.53,
,,,,,,,,175.73,-3.67,,175.73,-0.92,,175.73,9.39,,175.73,-194.56,
,,,,,,,,175.95,-10.55,,175.95,-11.5,,175.95,3.03,,175.95,-88.06,
,,,,,,,,176.18,-1.58,,176.18,-9.66,,176.18,5.76,,176.18,-158.38,
,,,,,,,,176.4,-5.4,,176.4,-11.43,,176.4,-1.83,,176.4,-69.63,
,,,,,,,,176.63,3.65,,176.63,-10.27,,176.63,-7.59,,176.63,-288.76,
,,,,,,,,176.85,-6.09,,176.85,-19.22,,176.85,-20.27,,176.85,-262.82,
,,,,,,,,177.07,-6.18,,177.07,-9.32,,177.07,-22.53,,177.07,-242.34,
